task_id,scheduled_start,scheduled_end,satellite_id,activity_type,target_area,target_lat,target_lon,priority,requesting_unit,classification,status,notes
TASK-000343,2026-01-25 03:35:00,2026-01-25 03:58:00,SENTINEL-9,CALIBRATION,FRANZ-JOSEF-LAND,80.12,52.73,MEDIUM,DIA-ANALYSIS,UNCLASSIFIED,COMPLETED,
TASK-000344,2026-01-25 03:43:00,2026-01-25 04:02:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-CHARLIE,73.85,125.33,LOW,EUCOM-J2,TOP SECRET,CANCELLED,
TASK-000345,2026-01-25 03:56:00,2026-01-25 04:21:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,USSPACECOM,SECRET,COMPLETED,
TASK-000346,2026-01-25 04:06:00,2026-01-25 04:13:00,SENTINEL-9,ATTITUDE_MANEUVER,NSR-WAYPOINT-ECHO,77.43,45.18,HIGH,INDOPACOM-J2,TOP SECRET,IN_PROGRESS,
TASK-000347,2026-01-25 04:15:00,2026-01-25 04:39:00,SENTINEL-9,SECONDARY_COLLECTION,NOVAYA-ZEMLYA-NORTH,76.95,67.58,HIGH,USSPACECOM,SECRET,COMPLETED,
TASK-000348,2026-01-25 04:29:00,2026-01-25 04:45:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-CHARLIE,73.85,125.33,HIGH,EUCOM-J2,SECRET,COMPLETED,
TASK-000349,2026-01-25 04:39:00,2026-01-25 05:01:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-BRAVO,76.18,96.72,MEDIUM,INDOPACOM-J2,SECRET,SCHEDULED,
TASK-000350,2026-01-25 04:56:00,2026-01-25 05:09:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-DELTA,71.64,150.21,HIGH,NORAD,UNCLASSIFIED,COMPLETED,
TASK-000351,2026-01-25 05:05:00,2026-01-25 05:28:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-BRAVO,76.18,96.72,HIGH,NRO-OPS,UNCLASSIFIED,SCHEDULED,
TASK-000352,2026-01-25 05:13:00,2026-01-25 05:29:00,SENTINEL-9,MAINTENANCE_WINDOW,SVALBARD-MONITOR,78.23,15.63,MEDIUM,USSPACECOM,SECRET,COMPLETED,
TASK-000353,2026-01-25 05:27:00,2026-01-25 05:33:00,SENTINEL-9,SECONDARY_COLLECTION,SVALBARD-MONITOR,78.23,15.63,MEDIUM,NASIC,TOP SECRET,COMPLETED,
TASK-000354,2026-01-25 05:38:00,2026-01-25 05:43:00,SENTINEL-9,DOWNLINK_PASS,FRANZ-JOSEF-LAND,80.12,52.73,MEDIUM,NSA-SIGINT,UNCLASSIFIED,COMPLETED,
TASK-000355,2026-01-25 05:50:00,2026-01-25 06:05:00,SENTINEL-9,CALIBRATION,FRANZ-JOSEF-LAND,80.12,52.73,MEDIUM,NRO-OPS,UNCLASSIFIED,SCHEDULED,
TASK-000356,2026-01-25 06:06:00,2026-01-25 06:13:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-ALPHA,75.52,68.43,MEDIUM,EUCOM-J2,SECRET,IN_PROGRESS,
TASK-000357,2026-01-25 06:14:00,2026-01-25 06:22:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-CHARLIE,73.85,125.33,HIGH,EUCOM-J2,SECRET,SCHEDULED,
TASK-000358,2026-01-25 06:28:00,2026-01-25 06:48:00,SENTINEL-9,ATTITUDE_MANEUVER,NSR-WAYPOINT-ALPHA,75.52,68.43,LOW,USSPACECOM,TOP SECRET,COMPLETED,
TASK-000359,2026-01-25 06:39:00,2026-01-25 07:01:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-ECHO,77.43,45.18,LOW,NASIC,TOP SECRET,IN_PROGRESS,
TASK-000360,2026-01-25 06:53:00,2026-01-25 07:14:00,SENTINEL-9,ATTITUDE_MANEUVER,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,NORAD,TOP SECRET,COMPLETED,
TASK-000361,2026-01-25 07:03:00,2026-01-25 07:12:00,SENTINEL-9,DOWNLINK_PASS,FRANZ-JOSEF-LAND,80.12,52.73,LOW,USSPACECOM,TOP SECRET,IN_PROGRESS,
TASK-000362,2026-01-25 07:19:00,2026-01-25 07:46:00,SENTINEL-9,ATTITUDE_MANEUVER,SVALBARD-MONITOR,78.23,15.63,MEDIUM,NORAD,SECRET,IN_PROGRESS,
TASK-000363,2026-01-25 07:33:00,2026-01-25 07:59:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-CHARLIE,73.85,125.33,HIGH,NASIC,SECRET,SCHEDULED,
TASK-000364,2026-01-25 07:50:00,2026-01-25 08:14:00,SENTINEL-9,PRIMARY_COLLECTION,NOVAYA-ZEMLYA-NORTH,76.95,67.58,MEDIUM,NSA-SIGINT,SECRET,SCHEDULED,
TASK-000365,2026-01-25 08:05:00,2026-01-25 08:23:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-DELTA,71.64,150.21,HIGH,NASIC,UNCLASSIFIED,COMPLETED,
TASK-000366,2026-01-25 08:18:00,2026-01-25 08:35:00,SENTINEL-9,ATTITUDE_MANEUVER,NOVAYA-ZEMLYA-NORTH,76.95,67.58,MEDIUM,NSA-SIGINT,SECRET,COMPLETED,
TASK-000367,2026-01-25 08:26:00,2026-01-25 08:31:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,NORAD,SECRET,SCHEDULED,
TASK-000368,2026-01-25 08:35:00,2026-01-25 08:41:00,SENTINEL-9,ATTITUDE_MANEUVER,NSR-WAYPOINT-CHARLIE,73.85,125.33,LOW,EUCOM-J2,SECRET,SCHEDULED,
TASK-000369,2026-01-25 08:52:00,2026-01-25 09:16:00,SENTINEL-9,DOWNLINK_PASS,FRANZ-JOSEF-LAND,80.12,52.73,MEDIUM,EUCOM-J2,UNCLASSIFIED,IN_PROGRESS,
TASK-000370,2026-01-25 09:10:00,2026-01-25 09:39:00,SENTINEL-9,PRIMARY_COLLECTION,SVALBARD-MONITOR,78.23,15.63,MEDIUM,NORTHCOM-J2,UNCLASSIFIED,COMPLETED,
TASK-000371,2026-01-25 09:28:00,2026-01-25 09:53:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-BRAVO,76.18,96.72,HIGH,NRO-OPS,SECRET,SCHEDULED,
TASK-000372,2026-01-25 09:46:00,2026-01-25 10:03:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-ALPHA,75.52,68.43,LOW,USSPACECOM,TOP SECRET,SCHEDULED,
TASK-000373,2026-01-25 10:04:00,2026-01-25 10:19:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-DELTA,71.64,150.21,LOW,DIA-ANALYSIS,UNCLASSIFIED,COMPLETED,
TASK-000374,2026-01-25 10:21:00,2026-01-25 10:48:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-DELTA,71.64,150.21,HIGH,NASIC,TOP SECRET,CANCELLED,
TASK-000375,2026-01-25 10:36:00,2026-01-25 10:42:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-BRAVO,76.18,96.72,HIGH,NASIC,SECRET,COMPLETED,
TASK-000376,2026-01-25 10:51:00,2026-01-25 11:05:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-BRAVO,76.18,96.72,LOW,NSA-SIGINT,SECRET,COMPLETED,
TASK-000377,2026-01-25 11:01:00,2026-01-25 11:10:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-DELTA,71.64,150.21,LOW,NRO-OPS,SECRET,COMPLETED,
TASK-000378,2026-01-25 11:13:00,2026-01-25 11:39:00,SENTINEL-9,CALIBRATION,NOVAYA-ZEMLYA-NORTH,76.95,67.58,HIGH,USSPACECOM,TOP SECRET,COMPLETED,
TASK-000379,2026-01-25 11:22:00,2026-01-25 11:48:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-ALPHA,75.52,68.43,HIGH,INDOPACOM-J2,TOP SECRET,COMPLETED,
TASK-000380,2026-01-25 11:40:00,2026-01-25 12:01:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-CHARLIE,73.85,125.33,MEDIUM,NASIC,SECRET,COMPLETED,
TASK-000381,2026-01-25 11:54:00,2026-01-25 12:19:00,SENTINEL-9,MAINTENANCE_WINDOW,FRANZ-JOSEF-LAND,80.12,52.73,MEDIUM,NRO-OPS,SECRET,COMPLETED,
TASK-000382,2026-01-25 12:12:00,2026-01-25 12:36:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,DIA-ANALYSIS,SECRET,IN_PROGRESS,
TASK-000383,2026-01-25 12:20:00,2026-01-25 12:30:00,SENTINEL-9,MAINTENANCE_WINDOW,FRANZ-JOSEF-LAND,80.12,52.73,HIGH,DIA-ANALYSIS,SECRET,COMPLETED,
TASK-000384,2026-01-25 12:33:00,2026-01-25 13:00:00,SENTINEL-9,PRIMARY_COLLECTION,SVALBARD-MONITOR,78.23,15.63,LOW,NSA-SIGINT,SECRET,COMPLETED,
TASK-000385,2026-01-25 12:49:00,2026-01-25 12:58:00,SENTINEL-9,MAINTENANCE_WINDOW,SVALBARD-MONITOR,78.23,15.63,HIGH,NORAD,SECRET,SCHEDULED,
TASK-000386,2026-01-25 13:03:00,2026-01-25 13:15:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-ALPHA,75.52,68.43,MEDIUM,DIA-ANALYSIS,TOP SECRET,SCHEDULED,
TASK-000387,2026-01-25 13:11:00,2026-01-25 13:17:00,SENTINEL-9,ATTITUDE_MANEUVER,NSR-WAYPOINT-CHARLIE,73.85,125.33,CRITICAL,NASIC,TOP SECRET,COMPLETED,
TASK-000388,2026-01-25 13:25:00,2026-01-25 13:43:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-ALPHA,75.52,68.43,LOW,USSPACECOM,SECRET,COMPLETED,
TASK-000389,2026-01-25 13:37:00,2026-01-25 13:46:00,SENTINEL-9,MAINTENANCE_WINDOW,FRANZ-JOSEF-LAND,80.12,52.73,CRITICAL,NORAD,SECRET,SCHEDULED,
TASK-000390,2026-01-25 13:54:00,2026-01-25 14:14:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-BRAVO,76.18,96.72,MEDIUM,NORTHCOM-J2,SECRET,COMPLETED,
TASK-000391,2026-01-25 14:13:00,2026-01-25 14:21:00,SENTINEL-9,MAINTENANCE_WINDOW,SVALBARD-MONITOR,78.23,15.63,HIGH,DIA-ANALYSIS,TOP SECRET,SCHEDULED,
TASK-000392,2026-01-25 14:31:00,2026-01-25 14:54:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-DELTA,71.64,150.21,LOW,NORTHCOM-J2,SECRET,COMPLETED,
TASK-000393,2026-01-25 14:40:00,2026-01-25 14:52:00,SENTINEL-9,CALIBRATION,NOVAYA-ZEMLYA-NORTH,76.95,67.58,LOW,NSA-SIGINT,SECRET,COMPLETED,
TASK-000394,2026-01-25 14:59:00,2026-01-25 15:07:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-BRAVO,76.18,96.72,LOW,NRO-OPS,SECRET,COMPLETED,
TASK-000395,2026-01-25 15:11:00,2026-01-25 15:17:00,SENTINEL-9,ATTITUDE_MANEUVER,NSR-WAYPOINT-ALPHA,75.52,68.43,MEDIUM,NORTHCOM-J2,UNCLASSIFIED,COMPLETED,
TASK-000396,2026-01-25 15:30:00,2026-01-25 15:37:00,SENTINEL-9,DOWNLINK_PASS,NOVAYA-ZEMLYA-NORTH,76.95,67.58,MEDIUM,NORTHCOM-J2,UNCLASSIFIED,SCHEDULED,
TASK-000397,2026-01-25 15:41:00,2026-01-25 15:53:00,SENTINEL-9,PRIMARY_COLLECTION,NOVAYA-ZEMLYA-NORTH,76.95,67.58,HIGH,EUCOM-J2,SECRET,COMPLETED,
TASK-000398,2026-01-25 15:53:00,2026-01-25 16:17:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-ALPHA,75.52,68.43,LOW,DIA-ANALYSIS,SECRET,COMPLETED,
TASK-000399,2026-01-25 16:01:00,2026-01-25 16:06:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-DELTA,71.64,150.21,CRITICAL,USSPACECOM,SECRET,COMPLETED,
TASK-000400,2026-01-25 16:14:00,2026-01-25 16:40:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-BRAVO,76.18,96.72,LOW,NRO-OPS,SECRET,SCHEDULED,
TASK-000401,2026-01-25 16:25:00,2026-01-25 16:31:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-CHARLIE,73.85,125.33,MEDIUM,NRO-OPS,UNCLASSIFIED,COMPLETED,
TASK-000402,2026-01-25 16:42:00,2026-01-25 17:01:00,SENTINEL-9,SECONDARY_COLLECTION,NOVAYA-ZEMLYA-NORTH,76.95,67.58,HIGH,EUCOM-J2,UNCLASSIFIED,COMPLETED,
TASK-000403,2026-01-25 16:53:00,2026-01-25 17:14:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,NASIC,SECRET,COMPLETED,
TASK-000404,2026-01-25 17:02:00,2026-01-25 17:30:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,NSA-SIGINT,UNCLASSIFIED,COMPLETED,
TASK-000405,2026-01-25 17:11:00,2026-01-25 17:18:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-ALPHA,75.52,68.43,MEDIUM,NSA-SIGINT,SECRET,IN_PROGRESS,
TASK-000406,2026-01-25 17:19:00,2026-01-25 17:30:00,SENTINEL-9,CALIBRATION,NOVAYA-ZEMLYA-NORTH,76.95,67.58,LOW,NORAD,TOP SECRET,COMPLETED,
TASK-000407,2026-01-25 17:35:00,2026-01-25 18:01:00,SENTINEL-9,ATTITUDE_MANEUVER,NSR-WAYPOINT-ALPHA,75.52,68.43,HIGH,NORAD,SECRET,COMPLETED,
TASK-000408,2026-01-25 17:51:00,2026-01-25 18:07:00,SENTINEL-9,SECONDARY_COLLECTION,NOVAYA-ZEMLYA-NORTH,76.95,67.58,CRITICAL,NSA-SIGINT,SECRET,COMPLETED,
TASK-000409,2026-01-25 18:05:00,2026-01-25 18:22:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,DIA-ANALYSIS,SECRET,COMPLETED,
TASK-000410,2026-01-25 18:19:00,2026-01-25 18:25:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-ALPHA,75.52,68.43,MEDIUM,USSPACECOM,SECRET,IN_PROGRESS,
TASK-000411,2026-01-25 18:32:00,2026-01-25 18:57:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-ECHO,77.43,45.18,MEDIUM,NORAD,SECRET,COMPLETED,
TASK-000412,2026-01-25 18:48:00,2026-01-25 19:14:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-CHARLIE,73.85,125.33,LOW,DIA-ANALYSIS,SECRET,COMPLETED,
TASK-000413,2026-01-25 19:02:00,2026-01-25 19:14:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-CHARLIE,73.85,125.33,HIGH,USSPACECOM,UNCLASSIFIED,COMPLETED,
TASK-000414,2026-01-25 19:10:00,2026-01-25 19:26:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-BRAVO,76.18,96.72,MEDIUM,NSA-SIGINT,UNCLASSIFIED,COMPLETED,
TASK-000415,2026-01-25 19:29:00,2026-01-25 19:36:00,SENTINEL-9,MAINTENANCE_WINDOW,FRANZ-JOSEF-LAND,80.12,52.73,MEDIUM,NORTHCOM-J2,SECRET,COMPLETED,
TASK-000416,2026-01-25 19:40:00,2026-01-25 20:07:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-DELTA,71.64,150.21,HIGH,EUCOM-J2,SECRET,COMPLETED,
TASK-000417,2026-01-25 19:52:00,2026-01-25 20:12:00,SENTINEL-9,ATTITUDE_MANEUVER,NSR-WAYPOINT-DELTA,71.64,150.21,LOW,EUCOM-J2,TOP SECRET,COMPLETED,
TASK-000418,2026-01-25 20:09:00,2026-01-25 20:31:00,SENTINEL-9,SECONDARY_COLLECTION,FRANZ-JOSEF-LAND,80.12,52.73,HIGH,NSA-SIGINT,UNCLASSIFIED,COMPLETED,
TASK-000419,2026-01-25 20:22:00,2026-01-25 20:39:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-ECHO,77.43,45.18,CRITICAL,EUCOM-J2,TOP SECRET,COMPLETED,
TASK-000420,2026-01-25 20:37:00,2026-01-25 20:58:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-ALPHA,75.52,68.43,MEDIUM,NASIC,SECRET,COMPLETED,
TASK-000421,2026-01-25 20:51:00,2026-01-25 21:08:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-DELTA,71.64,150.21,LOW,NRO-OPS,SECRET,SCHEDULED,
TASK-000422,2026-01-25 21:09:00,2026-01-25 21:14:00,SENTINEL-9,SECONDARY_COLLECTION,FRANZ-JOSEF-LAND,80.12,52.73,LOW,NRO-OPS,SECRET,IN_PROGRESS,
TASK-000423,2026-01-25 21:27:00,2026-01-25 21:51:00,SENTINEL-9,SECONDARY_COLLECTION,FRANZ-JOSEF-LAND,80.12,52.73,LOW,NORTHCOM-J2,SECRET,COMPLETED,
TASK-000424,2026-01-25 21:38:00,2026-01-25 21:52:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-ECHO,77.43,45.18,HIGH,USSPACECOM,SECRET,IN_PROGRESS,
TASK-000425,2026-01-25 21:57:00,2026-01-25 22:23:00,SENTINEL-9,SECONDARY_COLLECTION,NOVAYA-ZEMLYA-NORTH,76.95,67.58,MEDIUM,EUCOM-J2,TOP SECRET,IN_PROGRESS,
TASK-000426,2026-01-25 22:05:00,2026-01-25 22:22:00,SENTINEL-9,ATTITUDE_MANEUVER,SVALBARD-MONITOR,78.23,15.63,HIGH,NORTHCOM-J2,SECRET,COMPLETED,
TASK-000427,2026-01-25 22:19:00,2026-01-25 22:35:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-BRAVO,76.18,96.72,HIGH,NRO-OPS,SECRET,COMPLETED,
TASK-000428,2026-01-25 22:36:00,2026-01-25 22:47:00,SENTINEL-9,CALIBRATION,FRANZ-JOSEF-LAND,80.12,52.73,MEDIUM,EUCOM-J2,SECRET,IN_PROGRESS,
TASK-000429,2026-01-25 22:51:00,2026-01-25 22:56:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,USSPACECOM,SECRET,COMPLETED,
TASK-000430,2026-01-25 23:06:00,2026-01-25 23:32:00,SENTINEL-9,PRIMARY_COLLECTION,FRANZ-JOSEF-LAND,80.12,52.73,MEDIUM,NORTHCOM-J2,UNCLASSIFIED,COMPLETED,
TASK-000431,2026-01-25 23:23:00,2026-01-25 23:42:00,SENTINEL-9,SECONDARY_COLLECTION,SVALBARD-MONITOR,78.23,15.63,LOW,NORTHCOM-J2,UNCLASSIFIED,COMPLETED,
TASK-000432,2026-01-25 23:31:00,2026-01-25 23:45:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-BRAVO,76.18,96.72,HIGH,NORAD,UNCLASSIFIED,COMPLETED,
TASK-000433,2026-01-25 23:42:00,2026-01-26 00:03:00,SENTINEL-9,CALIBRATION,FRANZ-JOSEF-LAND,80.12,52.73,MEDIUM,NORTHCOM-J2,UNCLASSIFIED,SCHEDULED,
TASK-000434,2026-01-25 23:56:00,2026-01-26 00:09:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-CHARLIE,73.85,125.33,MEDIUM,NASIC,UNCLASSIFIED,COMPLETED,
TASK-000435,2026-01-26 00:14:00,2026-01-26 00:27:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-CHARLIE,73.85,125.33,LOW,NASIC,UNCLASSIFIED,COMPLETED,
TASK-000436,2026-01-26 00:30:00,2026-01-26 00:42:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,USSPACECOM,SECRET,SCHEDULED,
TASK-000437,2026-01-26 00:41:00,2026-01-26 00:50:00,SENTINEL-9,ATTITUDE_MANEUVER,NSR-WAYPOINT-CHARLIE,73.85,125.33,MEDIUM,DIA-ANALYSIS,UNCLASSIFIED,SCHEDULED,
TASK-000438,2026-01-26 00:51:00,2026-01-26 00:58:00,SENTINEL-9,MAINTENANCE_WINDOW,NOVAYA-ZEMLYA-NORTH,76.95,67.58,HIGH,EUCOM-J2,SECRET,COMPLETED,
TASK-000439,2026-01-26 01:08:00,2026-01-26 01:30:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-ECHO,77.43,45.18,LOW,NORAD,SECRET,COMPLETED,
TASK-000440,2026-01-26 01:24:00,2026-01-26 01:33:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-ECHO,77.43,45.18,MEDIUM,INDOPACOM-J2,SECRET,COMPLETED,
TASK-000441,2026-01-26 01:33:00,2026-01-26 01:49:00,SENTINEL-9,ATTITUDE_MANEUVER,SVALBARD-MONITOR,78.23,15.63,LOW,NASIC,TOP SECRET,COMPLETED,
TASK-000442,2026-01-26 01:50:00,2026-01-26 01:58:00,SENTINEL-9,CALIBRATION,SVALBARD-MONITOR,78.23,15.63,LOW,NRO-OPS,SECRET,COMPLETED,
TASK-000443,2026-01-26 02:08:00,2026-01-26 02:29:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-DELTA,71.64,150.21,LOW,INDOPACOM-J2,SECRET,COMPLETED,
TASK-000444,2026-01-26 02:20:00,2026-01-26 02:33:00,SENTINEL-9,PRIMARY_COLLECTION,FRANZ-JOSEF-LAND,80.12,52.73,MEDIUM,NORAD,TOP SECRET,SCHEDULED,
TASK-000445,2026-01-26 02:28:00,2026-01-26 02:53:00,SENTINEL-9,SECONDARY_COLLECTION,FRANZ-JOSEF-LAND,80.12,52.73,HIGH,NSA-SIGINT,SECRET,IN_PROGRESS,
TASK-000446,2026-01-26 02:36:00,2026-01-26 02:49:00,SENTINEL-9,ATTITUDE_MANEUVER,NSR-WAYPOINT-CHARLIE,73.85,125.33,MEDIUM,NORTHCOM-J2,SECRET,COMPLETED,
TASK-000447,2026-01-26 02:52:00,2026-01-26 03:04:00,SENTINEL-9,DOWNLINK_PASS,SVALBARD-MONITOR,78.23,15.63,LOW,NORAD,UNCLASSIFIED,SCHEDULED,
TASK-000448,2026-01-26 03:11:00,2026-01-26 03:35:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-BRAVO,76.18,96.72,MEDIUM,INDOPACOM-J2,TOP SECRET,COMPLETED,
TASK-000449,2026-01-26 03:29:00,2026-01-26 03:51:00,SENTINEL-9,PRIMARY_COLLECTION,FRANZ-JOSEF-LAND,80.12,52.73,LOW,INDOPACOM-J2,TOP SECRET,COMPLETED,
TASK-000450,2026-01-26 03:37:00,2026-01-26 03:57:00,SENTINEL-9,MAINTENANCE_WINDOW,FRANZ-JOSEF-LAND,80.12,52.73,HIGH,EUCOM-J2,UNCLASSIFIED,COMPLETED,
TASK-000451,2026-01-26 03:50:00,2026-01-26 04:19:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,NRO-OPS,UNCLASSIFIED,COMPLETED,
TASK-000452,2026-01-26 04:06:00,2026-01-26 04:12:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,NSA-SIGINT,SECRET,SCHEDULED,
TASK-000453,2026-01-26 04:21:00,2026-01-26 04:30:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-CHARLIE,73.85,125.33,MEDIUM,NRO-OPS,SECRET,COMPLETED,
TASK-000454,2026-01-26 04:38:00,2026-01-26 04:56:00,SENTINEL-9,DOWNLINK_PASS,FRANZ-JOSEF-LAND,80.12,52.73,MEDIUM,NORAD,SECRET,SCHEDULED,
TASK-000455,2026-01-26 04:49:00,2026-01-26 05:16:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-BRAVO,76.18,96.72,MEDIUM,NSA-SIGINT,UNCLASSIFIED,SCHEDULED,
TASK-000456,2026-01-26 05:01:00,2026-01-26 05:21:00,SENTINEL-9,ATTITUDE_MANEUVER,NSR-WAYPOINT-CHARLIE,73.85,125.33,LOW,INDOPACOM-J2,UNCLASSIFIED,COMPLETED,
TASK-000457,2026-01-26 05:17:00,2026-01-26 05:34:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-ECHO,77.43,45.18,HIGH,NSA-SIGINT,SECRET,SCHEDULED,
TASK-000458,2026-01-26 05:29:00,2026-01-26 05:41:00,SENTINEL-9,ATTITUDE_MANEUVER,FRANZ-JOSEF-LAND,80.12,52.73,MEDIUM,NORTHCOM-J2,UNCLASSIFIED,COMPLETED,
TASK-000459,2026-01-26 05:42:00,2026-01-26 06:09:00,SENTINEL-9,ATTITUDE_MANEUVER,NOVAYA-ZEMLYA-NORTH,76.95,67.58,LOW,INDOPACOM-J2,SECRET,COMPLETED,
TASK-000460,2026-01-26 05:51:00,2026-01-26 06:05:00,SENTINEL-9,DOWNLINK_PASS,NOVAYA-ZEMLYA-NORTH,76.95,67.58,HIGH,NRO-OPS,SECRET,COMPLETED,
TASK-000461,2026-01-26 06:05:00,2026-01-26 06:23:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-ECHO,77.43,45.18,MEDIUM,NASIC,UNCLASSIFIED,IN_PROGRESS,
TASK-000462,2026-01-26 06:17:00,2026-01-26 06:30:00,SENTINEL-9,PRIMARY_COLLECTION,SVALBARD-MONITOR,78.23,15.63,LOW,NORAD,UNCLASSIFIED,COMPLETED,
TASK-000463,2026-01-26 06:28:00,2026-01-26 06:46:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-ALPHA,75.52,68.43,MEDIUM,DIA-ANALYSIS,UNCLASSIFIED,COMPLETED,
TASK-000464,2026-01-26 06:44:00,2026-01-26 07:12:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-ECHO,77.43,45.18,MEDIUM,EUCOM-J2,TOP SECRET,COMPLETED,
TASK-000465,2026-01-26 06:59:00,2026-01-26 07:14:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-ALPHA,75.52,68.43,LOW,NORTHCOM-J2,SECRET,COMPLETED,
TASK-000466,2026-01-26 07:09:00,2026-01-26 07:33:00,SENTINEL-9,DOWNLINK_PASS,SVALBARD-MONITOR,78.23,15.63,HIGH,DIA-ANALYSIS,SECRET,IN_PROGRESS,
TASK-000467,2026-01-26 07:19:00,2026-01-26 07:41:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,USSPACECOM,SECRET,COMPLETED,
TASK-000468,2026-01-26 07:29:00,2026-01-26 07:47:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,NORTHCOM-J2,TOP SECRET,COMPLETED,
